file_hash,windows_executable_count,BEH_osmodify,BEH_coinstealer,BEH_mining,BEH_proxy,BEH_filecrypt,BEH_selfpropagate,BEH_autorun,BEH_clicks,BEH_filemodify,BEH_toolbar,BEH_ddos,BEH_killsectool,BEH_browsermodify,BEH_spam,BEH_jswebinject,BEH_bitcoinmining,BEH_infosteal,BEH_alertuser,BEH_keylogging,BEH_execdownload,BEH_killproc,BEH_dials,BEH_gamethief,BEH_servstart,BEH_server,BEH_inject,BEH_irc,FILE_installer,FILE_shellcode,FILE_proglang:autoit,FILE_packed:enigma,FILE_proglang:delphi,FILE_small,FILE_packed:themida,FILE_exploit,FILE_proglang:powershell,FILE_corrupted,FILE_proglang:python,FILE_proglang:visualbasic,FILE_msil,FILE_packed:vmprotect,FILE_bundle,FILE_packed,multiclass_label
00574798ecc56cabcff2c55661ea1111,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,CLASS_grayware
005f053b04d5eea60e88ed15a80f33e4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,CLASS_spyware
00655844aefd2637bc46ab600e26d078,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,CLASS_spyware
00660d93cb7dcc3a3c944806a1fcb621,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_backdoor
006bf1cbad376957214330f8019eda78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CLASS_grayware
00789e0ad9991b34d44c35bad96947f1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,CLASS_spyware
007989b60734c0915465ddde4dbd2909,22,0,0,0,0,0,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CLASS_virus
007a6e1a4adca85bac7fe0971503e13f,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,CLASS_spyware
008608dca212d3f45e4c7fda3cacb663,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CLASS_spyware
0088e7505906e2b4e1cec18cc7f435e8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,CLASS_spyware
